reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	fixation.started	text.started	key_resp.started	fixation.stopped	key_resp.keys	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
78	80	162	0	0	0	6	24.5733565	25.3062915	25.3062915	25.5873352	t	1.1341133	53514	1	2022-10-21_11h15.31.920	untitled	2022.2.2	60.08777622
11	30	7	0	1	1	0	26.4929841	27.4702728	27.4702728	27.5035014	l	0.8916209	53514	1	2022-10-21_11h15.31.920	untitled	2022.2.2	60.08777622
49	60	89	0	2	2	4	28.4148474	29.3865182	29.3865182	29.4198134	t	0.5982023	53514	1	2022-10-21_11h15.31.920	untitled	2022.2.2	60.08777622
27	50	21	0	3	3	2	30.0022431	31.0026597	31.0026597	31.0026597	l	0.7014957	53514	1	2022-10-21_11h15.31.920	untitled	2022.2.2	60.08777622
40	55	62	0	4	4	3	31.746982	32.7358911	32.7358911	32.7525673	t	0.5601225	53514	1	2022-10-21_11h15.31.920	untitled	2022.2.2	60.08777622
15	35	13	0	5	5	1	33.3256465	34.3188003	34.3188003	34.3356564	t	0.434726	53514	1	2022-10-21_11h15.31.920	untitled	2022.2.2	60.08777622
67	75	119	0	6	6	5	34.7942151	35.7904064	35.7904064	35.8018208	t	0.3358223	53514	1	2022-10-21_11h15.31.920	untitled	2022.2.2	60.08777622
																		
																		
																		
							-0.49689441											
							-5											
							-0.681818182											
							-2.5											
							-0.901639344											
							-2.916666667											
							-0.63559322											
